file_path,label,width,height
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1000_3KPA24AD6LE328168.jpg",3KPA24AD6LE328168,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1001_3KPA24AD6LE328199.jpg",3KPA24AD6LE328199,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1002_3KPA24AD6LE328235.jpg",3KPA24AD6LE328235,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1003_3KPA24AD6LE328266.jpg",3KPA24AD6LE328266,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1004_3KPA24AD6LE328350.jpg",3KPA24AD6LE328350,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1005_3KPA24AD6LE328378.jpg",3KPA24AD6LE328378,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1006_3KPA24AD6LE328445.jpg",3KPA24AD6LE328445,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1007_3KPA24AD6LE328462.jpg",3KPA24AD6LE328462,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1008_3KPA24AD6LE328493.jpg",3KPA24AD6LE328493,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1009_3KPA24AD6LE328543.jpg",3KPA24AD6LE328543,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_100_3KPA241AALE328617.jpg",3KPA241AALE328617,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1010_3KPA24AD6LE328557.jpg",3KPA24AD6LE328557,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1011_3KPA24AD6LE328574.jpg",3KPA24AD6LE328574,1280,720
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1012_3KPA24AD6LE328591.jpg",3KPA24AD6LE328591,1280,720
