file_path,label,width,height,xml_path,bnd_box,crop_path,crop_height,crop_width,crop_ratio
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1000_3KPA24AD6LE328168.jpg",3KPA24AD6LE328168,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1000_3KPA24AD6LE328168.xml","{'xmin': 85.0, 'xmax': 967.0, 'ymin': 188.0, 'ymax': 270.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328168.jpg",82.0,882.0,10.75609756097561
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1001_3KPA24AD6LE328199.jpg",3KPA24AD6LE328199,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1001_3KPA24AD6LE328199.xml","{'xmin': 84.0, 'xmax': 968.0, 'ymin': 172.0, 'ymax': 254.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328199.jpg",82.0,884.0,10.78048780487805
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1002_3KPA24AD6LE328235.jpg",3KPA24AD6LE328235,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1002_3KPA24AD6LE328235.xml","{'xmin': 76.0, 'xmax': 960.0, 'ymin': 150.0, 'ymax': 234.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328235.jpg",84.0,884.0,10.523809523809524
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1003_3KPA24AD6LE328266.jpg",3KPA24AD6LE328266,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1003_3KPA24AD6LE328266.xml","{'xmin': 52.0, 'xmax': 1058.0, 'ymin': 231.0, 'ymax': 365.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328266.jpg",134.0,1006.0,7.507462686567164
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1004_3KPA24AD6LE328350.jpg",3KPA24AD6LE328350,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1004_3KPA24AD6LE328350.xml","{'xmin': 84.0, 'xmax': 966.0, 'ymin': 160.0, 'ymax': 244.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328350.jpg",84.0,882.0,10.5
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1005_3KPA24AD6LE328378.jpg",3KPA24AD6LE328378,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1005_3KPA24AD6LE328378.xml","{'xmin': 79.0, 'xmax': 963.0, 'ymin': 157.0, 'ymax': 240.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328378.jpg",83.0,884.0,10.650602409638553
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1006_3KPA24AD6LE328445.jpg",3KPA24AD6LE328445,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1006_3KPA24AD6LE328445.xml","{'xmin': 94.0, 'xmax': 976.0, 'ymin': 175.0, 'ymax': 260.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328445.jpg",85.0,882.0,10.376470588235295
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1007_3KPA24AD6LE328462.jpg",3KPA24AD6LE328462,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1007_3KPA24AD6LE328462.xml","{'xmin': 71.0, 'xmax': 955.0, 'ymin': 159.0, 'ymax': 241.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328462.jpg",82.0,884.0,10.78048780487805
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1008_3KPA24AD6LE328493.jpg",3KPA24AD6LE328493,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1008_3KPA24AD6LE328493.xml","{'xmin': 89.0, 'xmax': 971.0, 'ymin': 170.0, 'ymax': 253.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328493.jpg",83.0,882.0,10.626506024096386
"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1009_3KPA24AD6LE328543.jpg",3KPA24AD6LE328543,1280,720,"C:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\raw\WBSIN\KVD1_WBSIN_20210305_1009_3KPA24AD6LE328543.xml","{'xmin': 88.0, 'xmax': 970.0, 'ymin': 174.0, 'ymax': 257.0}","c:\Users\KMA62139\OneDrive - Kia\Documents - Big Data, Data Science\Projects\crnn-pytorch\data\interim\cropped_wbsin_images\3KPA24AD6LE328543.jpg",83.0,882.0,10.626506024096386
